用户打分,评论内容,点赞数
1,之前朋友极力推荐说上映去看，今天去看了一下，首先特效方面很多地方不行，道路bug也有很多处。其次男主前期人设是一直犟嘴，然后他和男二的冲突的剧情也很老套，别说比不上壮志凌云，连之前的空天猎都不如。难看，不知道评论区怎么只有一水的好评，大家看的难道不是同一部电影吗？,12350
2,吹的过分了吧 就说这电影 特效还行都算不上 男主阎王看了都扣6 结局也不咋地 刚爽就没了,5359
3,胡军演完的后面更没什么看的了，爱情线塞的莫名其妙的，王一博演的角色………整部电影一堆bug就连我妈这种爱看打仗的都快睡着了，这是哪边都没做好啊,3311
3,开头结尾出彩的平庸之作,649
5,身在阎良的我，家里人都在航空工业上班，长空之王还是在这里拍的，所以第一场就来看了。长空之王拍的真好，完全是我心中试飞员的样子！战斗机太帅了！整个电影非常的刺激～炸裂～燃～还有搞笑和感人～试飞员太伟大了，队长牺牲了，哭得我呀～ 有好几个片段看得我汗毛都竖起来了，每一秒都超级吸引人！,8242
1,非常无语的电影，被朋友拉去看的，真的让我非常失望。全程唯一的亮点大概就是胡军了。。。王一博从颜值到演技真的烂到家了。。。但是他是男主啊，竟然这么稀巴烂。还有电影从头到尾好多常识性的错误，整个电影真的毫无诚意，割韭菜都不是这个割法,6503
3,1.算是五一档里唯一稍稍值得进电影院的电影，但也只值到银护3来之前2.观感仍然不够它的噱头，有很多CG画面表现的飞机姿态是匪夷所思的夸张，你要是看多了一些纪录片或者汤哥的壮志凌云，甚至只玩过一些空战游戏就能明白，夸张的机动会造成极大的失真感。为什么壮2那么成功，就在于观众能在真实驾驶舱与真实天空共振的翻滚里一起屏住呼吸、期待完成下一步新的飞控动作，用CG和极限耍帅画面来代替这种共同体验简直过于浮浪。对个人演员无感，但对这部电影背后透露的工业逻辑很失望,317
5,"上午刚看完空王，给5分，特值得花时间去影院观看。说几句观后。
先鸡蛋里挑个骨头，总体感觉时长再长些会更好看。例如，张队夫妇以及雷宇女军医两条爱情线刚刚看出点滋味影片就结束了，不过瘾。另外， 雷宇与邓放的战友情也没看过瘾，有点遗憾。
再说过瘾的。结尾歼20与敌机的空中缠斗，绝对漂亮！尤其是雷宇锁定敌机，请示领导是否开火那个瞬间，特牛逼！还有在结尾时，导演剪辑了一组试飞员在牺牲前与地面的最后通话，每名试飞员的语调都十分平静，就像马上要出差嘱咐家人一些琐事那样…看得我立马泪奔。还有好多类似细节就不剧透了，大家自己看。
最后说下胡军与王一博的表演。完全把两代军人的传承感演绎出来了。王一博的人物弧线就像一道彩虹，而胡军就像是那个画出彩虹的大画家",7388
5,歼20大飞机✈️，国内首部关注试飞行员影片。,7954
3,国产主题剧里只要是出现了为煽情而煽情的画面一般都有点……一个牛逼哄哄自信爆棚的年轻人总是有点桀骜不驯然后被老选手九死一生拯救回来，把自信心揉碎再乖乖学习的老套路一成不变，在多少电影里看过了。😌😌😌,232
5,第一次看关于试飞员的电影，好热血好燃！有笑点有泪点，适合全家观看的一部电影。,7416
3,文戏太难看了西八，胡军和最后啵啵的两段飞行还不错,344
1,bug太多,6311
4,上映就去看了，算是科普了试飞员这一职业。煽情还是比较多的，毕竟高危职业，这个情怀志向本身就是卖点。虽然我猜到队长要死，但是这个弹射失败的原因一言难尽，感觉还不如弹射成功但是降落高度不够。而且这些设备的细节问题，比如弹射失败、降落伞割不断，比发动机这些科研技术难题要简单多了，为什么不把控好这些细节问题，试飞员的生命安全不是更加得到保障么。是一部成长型电影，不光是试飞员个人的成长，也是中国飞机和航天事业的成长，没有《中国机长》那种成熟的飞行员的惊心动魄，但是最后意外确实体现出了训练的重要性和必要性。,3301
1,确实一般，文武都一塌糊涂,5057
2,稀碎的特效，稀碎的煽情,330
3,就很像口水话作文。,488
4,影片节奏紧凑，剧情很燃很泪目。感谢《长空之王》将我国空军取得的进步呈现在了大荧幕上，向飞行员试飞小队致敬，他们不愧为刀尖上的舞者。现场主创团队分享了令他们印象深刻的一幕，胡军超可爱，说大家太能吃了，都把火锅店老板吃傻眼了，王一博帅帅的，之前不太了解，没想到演技还不错～,7501
3,演员演技就不说了，从剧情来看，前后呼应，起承转折都不错，结构完整，属于直线型叙事。一些小设定很戳我，比如揪小辫呀。但人物刻画不够鲜明，不管是雷宇、还是师傅张挺，从一开始就大致能猜出之后的情节走向，完全可以套用西方英雄模式。战友等人也都过于纸片化，不够立体鲜明。最大的作用可能是向观众展示了试飞员这一职业吧，可能有些地方还不够准确。估计军迷看了，会批评地更厉害。虽然如此，但作为一个观众，看到073无法返航，依旧会哭得稀里哗啦,85
5,长空之王是不错的，已经开始2刷,5072
