发布时间,微博内容,点赞数,评论数,转发数
2019-08-26,papi酱的周一放送——网上和身边永远有一群“挑刺狂魔”，别人说什么他们都能挑出刺，别人做什么他们都觉得有问题，真不知道是能冒犯到他们的点太多，还是挑出别人的“毛病”能让他们有优越感。（无奖问答：视频中的小pa该怎么说才能让人挑不出毛病？（周一愉快❤️papi酱的秒拍视频 ,2152406,101028,146253
2022-12-29,这年头，追客户就跟追对象一样（1） #追客户追出了恋爱的感觉# papi酱的微博视频 ,55057,1467,2408
2022-12-13,铭记历史，勿忘国耻。#国家公祭日# #国家公祭#,1723,35,155
2022-11-16,职场人的内心独白番外篇之——到底什么意思啊？总监大人！#老板的心思谁能懂# papi酱的微博视频 ,40615,1864,2727
2022-11-04,用恐怖片的方式打开购物节 #不是说好不过双十一吗# papi酱的微博视频 ,62202,3855,6581
2022-10-26,假如相亲对象的好友是HR#相亲现场秒变面试现场# papi酱的微博视频 ,74160,3967,5581
2022-10-09,“就这么着吧”“行的” 查看图片,10741,369,102
2022-10-01,与国同梦，共迎华诞。祝祖国繁荣昌盛♥️🇨🇳#庆祝新中国成立73周年#,981,37,36
2022-09-30,节前轻松一下！之papi酱的日常——办公室烂梗大赛！你们觉得谁的烂梗更烂？不会再有更烂的了吧？（国庆愉快！#首届办公室烂梗大赛# papi酱的微博视频 ,37841,1598,1937
2022-09-30,缅怀先烈，致敬英雄。,1063,12,64
2022-09-29,今晚8点30我在@云鲸NARWAL 天猫云鲸直播间体验云鲸新品J3小鲸灵，还有万元豪礼一起来抢，今晚不见不散哦～#天猫超级品牌日# ,1003,244,210
2022-09-21,本期视频灵感来源@papi酱 #到底怎么才算抄袭呢# papi酱的微博视频 ,99805,2908,7004
2022-09-19,孩子的世界是美好的、简单的，愿所有的孩子都能在爱中茁壮成长。守护孤儿，让我们用爱许他们一个温暖的童年。希望大家和我一起关注孤残儿童，一起助力#人人公益节# 。在微博做好事 @春晖博爱 @人人公益节 ,2156,255,221
2022-09-18,铭记历史，吾辈自强！,1589,42,150
2022-09-12,去年拍了没发的视频，这两天翻出来一看，嚯！跟新的一样！#当经纪公司说漏嘴# papi酱的微博视频 ,539189,28201,16419
2022-09-07,老年大学手机课2#老年人用手机行为图鉴# papi酱的微博视频 ,57847,1689,1776
2022-09-05,盼平安！,1413,52,36
2022-09-03,勿忘历史，吾辈自强！#铭记77年前的伟大胜利#,1539,52,100
2022-08-24,还是小时候好（吗？#究竟是长大好还是小时候好# papi酱的微博视频 ,47658,1825,1791
2022-08-17,他变了😢。#他变了我的世界崩塌了# papi酱的微博视频 ,176591,4391,13837
2022-08-10,老师对家长说的话（和她的真实想法#老师都是语言大师吧# papi酱的微博视频 ,50759,2113,4276
2022-08-10,相约云上北影节，和我一起看电影吧！@爱奇艺 @北京国际电影节,1634,73,4
2022-08-02,#只有一个中国# 🇨🇳,9494,517,751
2022-08-01,致敬人民子弟兵！,3110,44,145
2022-07-27,互联网的美妙之处 #当代网友吵架行为图鉴# papi酱的微博视频 ,99133,4515,8152
2022-07-27,工作小case！带娃？同样没问题！既要营养健康又要宝宝思想？作为智慧宝妈当然选择20年专注中国宝宝营养研究，突破性添加“三代OPO”的金领冠珍护。7月28日#聚划算欢聚日#，来金领冠官方旗舰店直播间网页链接和我一起从容养娃！ ,775,61,4
2022-07-22,阳光、雨露和陪伴可以让花朵绽放，但风霜、干涸和无视却可以摧毁大多数的生命，请给予孤残儿童更多关注，看一看，听一听他们的故事，你就会发现，我们所看见的“问题”，都是有“原因”的。和@春晖博爱 一起#撕掉孩子身上的标签# ，见证他们的蜕变，让他们#离幸福更近# ！@微公益 #公益海报创意大赛# ,2918,71,53
2022-07-13,当我和我的闺蜜约饭时 #当我都行遇上你定吧# papi酱的微博视频 ,50725,5735,2742
